PTFilter & Encypter/Decrypter Tagger Filters.,c:\windows\system32\CPFilters.dll
<d> ACP Background Manager Policy DLL,c:\windows\system32\ACPBackgroundManagerPolicy.dll
<d> Background Media Policy DLL,c:\windows\system32\BackgroundMediaPolicy.dll
<d> DLL,c:\windows\system32\WpPortingLibrary.dll,c:\windows\system32\enterpriseetw.dll
<d> NPSM Desktop Local Provider DLL,c:\windows\system32\NPSMDesktopProvider.dll
<d> SEB Background Manager Policy DLL,c:\windows\system32\SebBackgroundManagerPolicy.dll
16-bit Emulation on NT64,c:\windows\system32\ntvdm64.dll
32-bit to 16-bit Metafile Conversion DLL,c:\windows\system32\mf3216.dll
3D Builder,c:\windows\system32\ms3dthumbnailprovider.dll
802.11 Group Policy Client,c:\windows\system32\wlgpclnt.dll
802.11 IHV Extensions DLL,c:\windows\system32\DriverStore\FileRepository\netwtw04.inf_amd64_05973d2188a0847a\IntelWifiIhv04.dll,c:\windows\system32\DriverStore\FileRepository\netwtw06.inf_amd64_7dca3e548c4aed5d\IntelWifiIhv06.dll
802.3 Advanced UI,c:\windows\system32\dot3ui.dll
802.3 Autoconfiguration API,c:\windows\system32\dot3api.dll
802.3 Group Policy Client,c:\windows\system32\dot3gpclnt.dll
802.3 Media Specific Module,c:\windows\system32\dot3msm.dll
802.3 Netsh Helper,c:\windows\system32\dot3cfg.dll
802.3 Network Policy Management Snap-in,c:\windows\system32\dot3gpui.dll
802.3 UI Helper,c:\windows\system32\dot3dlg.dll
A Telephony DLL that does work for the Interactive User,c:\windows\system32\TelephonyInteractiveUser.dll
AAD Cloud AP Plugin,c:\windows\system32\aadcloudap.dll
AAD Token Broker Helper Library,c:\windows\system32\aadtb.dll
AAD User Device Registration WinRT,c:\windows\system32\UserDeviceRegistration.dll
AAD WAM extension DLL,c:\windows\system32\aadWamExtension.dll
AADJCSP,c:\windows\system32\aadjcsp.dll
AboveLockAppHost,c:\windows\system32\AboveLockAppHost.dll
Access Control List Editor,c:\windows\system32\acledit.dll
Accounts Host Resources,c:\windows\system32\APHostRes.dll
Accounts Host Service,c:\windows\system32\APHostService.dll
Accounts Host Service RPC Client ,c:\windows\system32\APHostClient.dll
Accounts RT utilities for mail, contacts, calendar,c:\windows\system32\AccountsRt.dll
ACE,c:\windows\system32\DriverStore\FileRepository\lms.inf_amd64_0211af8a99c7a473\ACE.dll,c:\windows\system32\DriverStore\FileRepository\lms.inf_amd64_de1f86bde40d17b4\ACE.dll
ACPI ALS Sensor Driver,c:\windows\system32\DriverStore\FileRepository\sensorsalsdriver.inf_amd64_a9cff71c33787951\SensorsAlsDriver.dll
Activation Client,c:\windows\system32\ActivationClient.dll
Activation Manager,c:\windows\system32\ActivationManager.dll
Active Accessibility Core Component,c:\windows\system32\oleacc.dll
Active Accessibility Event Hooks Library,c:\windows\system32\oleacchooks.dll
Active Accessibility Resource DLL,c:\windows\system32\oleaccrc.dll
Active Accessibility text support,c:\windows\system32\msaatext.dll
Active Directory Certificate Services Encoding,c:\windows\system32\certenc.dll
Active Directory Domain Services API,c:\windows\system32\dsparse.dll,c:\windows\system32\ntdsapi.dll
Active Directory Lightweight Directory Services migration plugin,c:\windows\system32\migwiz\dlmanifests\Microsoft-Windows-DirectoryServices-ADAM-DL\adammigrate.dll,c:\windows\system32\migwiz\replacementmanifests\Microsoft-Windows-DirectoryServices-ADAM-Client\adammigrate.dll
Active Directory Web Services migration plugin,c:\windows\system32\migwiz\dlmanifests\Microsoft-ActiveDirectory-WebServices-DL\adwsmigrate.dll,c:\windows\system32\migwiz\replacementmanifests\microsoft-activedirectory-webservices\adwsmigrate.dll
Active IMM Server DLL,c:\windows\system32\msimtf.dll
ActiveSync CSP DLL,c:\windows\system32\ActiveSyncCsp.dll
ActiveSync Resources,c:\windows\system32\SyncRes.dll
ActiveX control for streaming video,c:\windows\system32\MSVidCtl.dll
ActiveX Installer Service,c:\windows\system32\AxInstSv.dll
ActiveX Interface Marshaling Library,c:\windows\system32\actxprxy.dll
Activities DataModel,c:\windows\system32\Windows.Data.Activities.dll
AD harvest sites and subnets API,c:\windows\system32\adhapi.dll
AD Harvest Sites and Subnets Service,c:\windows\system32\adhsvc.dll
AD/AAD User Device Registration,c:\windows\system32\dsreg.dll
AD/AAD User Device Registration WinRT,c:\windows\system32\UserDeviceRegistration.Ngc.dll
Adaptive Cards Xaml Renderer,c:\windows\system32\Windows.Internal.AdaptiveCards.XamlCardRenderer.dll
Adaptive Port Monitor,c:\windows\system32\APMon.dll
Add Hardware Device Library,c:\windows\system32\newdev.dll
Add/Remove Modems,c:\windows\system32\uicom.dll
ADDRESSPARSER,c:\windows\system32\AddressParser.dll
Administrative Templates Extension,c:\windows\system32\AdmTmpl.dll
Adobe Flash Player Helper 32.0 r0,c:\windows\system32\Macromed\Flash\FlashUtil_ActiveX.dll
adprovider DLL,c:\windows\system32\adprovider.dll
ADs LDAP Provider C DLL,c:\windows\system32\adsldpc.dll
ADs LDAP Provider DLL,c:\windows\system32\adsmsext.dll,c:\windows\system32\adsldp.dll
ADs Router Layer DLL,c:\windows\system32\activeds.dll
ADs Windows NT Provider DLL,c:\windows\system32\adsnt.dll
Advanced display adapter properties,c:\windows\system32\deskadp.dll
Advanced display monitor properties,c:\windows\system32\deskmon.dll
Advanced network device properties,c:\windows\system32\NcdProp.dll
Advanced Windows 32 Base API,c:\windows\system32\advapi32.dll,c:\windows\system32\advapi32res.dll
AdvancedEmojiDS.DYNLINK,c:\windows\system32\AdvancedEmojiDS.dll
ADVPACK,c:\windows\system32\advpack.dll,c:\windows\system32\IEAdvpack.dll
AF_UNIX Winsock2 Helper DLL,c:\windows\system32\wshunix.dll
Agent Activation Runtime Common DLL,c:\windows\system32\agentactivationruntime.dll
Agent Activation Runtime Service,c:\windows\system32\AarSvc.dll
Agent Activation Runtime Windows DLL,c:\windows\system32\agentactivationruntimewindows.dll
AllJoyn API Library,c:\windows\system32\MSAJApi.dll
AllJoyn Router Service DLL,c:\windows\system32\AJRouter.dll
Alps pointing device extension,c:\windows\system32\DriverStore\FileRepository\aphidfiltrsp.inf_amd64_154c37f7247e32d8\EzAuto.dll,c:\windows\system32\DellTPad\EzAuto.dll
